caldt,mret,model,year,portfolio_alpha,target_mode,long_decile,short_decile,backtest_start,backtest_end
1998-10-30,0.06785615368965776,elastic_net,1997,-0.00443992059832074,alpha,0.1,0,,
1998-11-30,0.0588670689164056,elastic_net,1997,-0.012565049464527973,alpha,0.1,0,,
1998-12-31,0.06030576820288302,elastic_net,1997,-0.015443050870575882,alpha,0.1,0,,
1999-01-29,0.055358380851402024,elastic_net,1998,0.0002974472873123746,alpha,0.1,0,,
1999-02-26,-0.05513548873491623,elastic_net,1998,-0.0012442595620490923,alpha,0.1,0,,
1999-03-31,0.05934071300698258,elastic_net,1998,0.019247908767011906,alpha,0.1,0,,
1999-04-30,0.030980273890229316,elastic_net,1998,-0.019375740069284386,alpha,0.1,0,,
1999-05-28,-0.012294351223808406,elastic_net,1998,0.013705298383131222,alpha,0.1,0,,
1999-06-30,0.06926389165599425,elastic_net,1998,0.004982559511506314,alpha,0.1,0,,
1999-07-30,-0.02272284159495363,elastic_net,1998,0.012254893401739322,alpha,0.1,0,,
1999-08-31,-0.007208488617412934,elastic_net,1998,0.004440201083284873,alpha,0.1,0,,
1999-09-30,-0.00909749671638608,elastic_net,1998,0.007504308376951763,alpha,0.1,0,,
1999-10-29,0.06314943395875433,elastic_net,1998,0.000386070927389591,alpha,0.1,0,,
1999-11-30,0.07131301550856164,elastic_net,1998,0.015865443046367368,alpha,0.1,0,,
1999-12-31,0.12496716078016665,elastic_net,1998,0.01510664083822548,alpha,0.1,0,,
2000-01-31,-0.03798827405033711,elastic_net,1999,0.007515916763256511,alpha,0.1,0,,
2000-02-29,0.03146493045623829,elastic_net,1999,-0.03685417898941968,alpha,0.1,0,,
2000-03-31,0.07250568170688494,elastic_net,1999,0.04172149853834822,alpha,0.1,0,,
2000-04-28,-0.044247390848065796,elastic_net,1999,0.040992403372370194,alpha,0.1,0,,
2000-05-31,-0.04046620598874263,elastic_net,1999,0.012681100926722089,alpha,0.1,0,,
2000-06-30,0.046888341886811194,elastic_net,1999,-0.03332394704938163,alpha,0.1,0,,
2000-07-31,-0.014977500609403943,elastic_net,1999,0.021200766239821794,alpha,0.1,0,,
2000-08-31,0.07402970974560066,elastic_net,1999,-0.0020938273750910064,alpha,0.1,0,,
2000-09-29,-0.06023748620814202,elastic_net,1999,0.007862346296703543,alpha,0.1,0,,
2000-10-31,-0.02866320476173982,elastic_net,1999,0.012001344299962129,alpha,0.1,0,,
2000-11-30,-0.10068077106674654,elastic_net,1999,0.03477564013968598,alpha,0.1,0,,
2000-12-29,0.008867345380087469,elastic_net,1999,0.0038601510431841746,alpha,0.1,0,,
2001-01-31,0.04395353480399195,elastic_net,2000,-0.015886741970751732,alpha,0.1,0,,
2001-02-28,-0.15112316553965033,elastic_net,2000,-0.02548753021649025,alpha,0.1,0,,
